Haverst period,Country,Product Type,Indicator,Tonnes
1991/92,Mexico,OO,P,2.0
1991/92,Montenegro,OO,C,3.0
1991/92,Montenegro,OO,E,0.0
1991/92,Montenegro,OO,I,0.5
1991/92,Montenegro,OO,P,2.0
1991/92,Morocco,OO,C,49.0
1991/92,Morocco,OO,E,5.0
1991/92,Morocco,OO,I,1.0
1991/92,Morocco,OO,P,50.0
1991/92,Netherlands,OO,C,1.5
1991/92,Netherlands,OO,E,0.1
1991/92,Netherlands,OO,I,0.1
1991/92,Netherlands,TO,C,3.1
1991/92,Netherlands,TO,E,0.0
1991/92,Netherlands,TO,I,1.1
1991/92,Oth.non-prod.,OO,C,35.0
1991/92,Oth.non-prod.,OO,I,35.0
1991/92,Other pr.coun.,OO,C,17.5
1991/92,Other pr.coun.,OO,E,2.5
1991/92,Other pr.coun.,OO,I,3.0
1991/92,Other pr.coun.,OO,P,9.0
1991/92,Portugal,OO,C,45.0
1991/92,Portugal,OO,E,6.1
1991/92,Portugal,OO,I,0.0
1991/92,Portugal,OO,P,62.0
1991/92,Portugal,TO,C,20.5
1991/92,Portugal,TO,E,3.1
1991/92,Portugal,TO,I,0.2
1991/92,Portugal,TO,P,23.0
1991/92,Russia,OO,C,9.0
1991/92,Russia,OO,I,9.0
1991/92,Saudi Arabia,OO,C,7.0
1991/92,Saudi Arabia,OO,E,0.0
1991/92,Saudi Arabia,OO,I,7.0
1991/92,Spain,OO,C,418.7
1991/92,Spain,OO,E,62.8
1991/92,Spain,OO,I,31.0
1991/92,Spain,OO,P,593.0
1991/92,Spain,TO,C,110.0
1991/92,Spain,TO,E,89.5
1991/92,Spain,TO,I,0.4
1991/92,Spain,TO,P,268.3
1991/92,Switzerland,OO,C,3.0
1991/92,Switzerland,OO,E,0.0
1991/92,Switzerland,OO,I,3.0
1991/92,Syria,OO,C,66.0
1991/92,Syria,OO,E,0.0
1991/92,Syria,OO,I,0.0
1991/92,Syria,OO,P,42.0
1991/92,Tunisia,OO,C,60.0
1991/92,Tunisia,OO,E,96.5
1991/92,Tunisia,OO,I,0.0
1991/92,Tunisia,OO,P,250.0
1991/92,Türkiye,OO,C,50.0
1991/92,Türkiye,OO,E,10.5
1991/92,Türkiye,OO,I,0.0
1991/92,Türkiye,OO,P,60.0
1991/92,United King.,OO,C,9.4
1991/92,United King.,OO,E,0.1
1991/92,United King.,OO,I,0.0
1991/92,United King.,TO,C,3.8
1991/92,United King.,TO,E,0.0
1991/92,United King.,TO,I,0.5
1991/92,USA,OO,C,79.0
1991/92,USA,OO,E,9.0
1991/92,USA,OO,I,87.5
1991/92,USA,OO,P,0.5
1992/93,Algeria,OO,C,30.0
1992/93,Algeria,OO,E,0.0
1992/93,Algeria,OO,I,0.0
1992/93,Algeria,OO,P,27.0
1992/93,Argentina,OO,C,4.5
1992/93,Argentina,OO,E,5.5
1992/93,Argentina,OO,I,0.0
1992/93,Argentina,OO,P,10.0
1992/93,Australia,OO,C,16.0
1992/93,Australia,OO,E,0.0
1992/93,Australia,OO,I,17.0
1992/93,Brazil,OO,C,17.0
1992/93,Brazil,OO,E,0.0
1992/93,Brazil,OO,I,17.0
1992/93,Canada,OO,C,13.0
1992/93,Canada,OO,I,13.0
1992/93,Chile,OO,E,0.0
1992/93,Cyprus,OO,C,2.0
1992/93,Cyprus,OO,E,0.0
1992/93,Cyprus,OO,I,0.0
1992/93,Cyprus,OO,P,3.0
1992/93,Denmark,OO,C,1.2
1992/93,Denmark,OO,E,0.0
1992/93,Denmark,OO,I,0.0
1992/93,Denmark,TO,C,1.0
1992/93,Denmark,TO,E,0.0
1992/93,Denmark,TO,I,0.1
1992/93,E.B.L.U.,OO,C,3.9
1992/93,E.B.L.U.,OO,E,0.0
1992/93,E.B.L.U.,OO,I,0.2
1992/93,E.B.L.U.,TO,C,2.8
1992/93,E.B.L.U.,TO,E,0.0
1992/93,E.B.L.U.,TO,I,1.2
1992/93,Egypt,OO,C,2.0
1992/93,Egypt,OO,E,0.0
1992/93,Egypt,OO,I,1.0
1992/93,Egypt,OO,P,1.0
1992/93,EU,OO,C,1.0
1992/93,EU,OO,E,161.5
1992/93,EU,OO,I,101.0
1992/93,EU,OO,P,1391.5
1992/93,France,OO,C,43.8
1992/93,France,OO,E,0.9
1992/93,France,OO,I,20.9
1992/93,France,OO,P,1.6
1992/93,France,TO,C,27.7
1992/93,France,TO,E,0.9
1992/93,France,TO,I,21.1
1992/93,France,TO,P,2.0
1992/93,Germany,OO,C,10.5
1992/93,Germany,OO,E,0.1
1992/93,Germany,OO,I,0.1
1992/93,Germany,TO,C,15.5
1992/93,Germany,TO,E,0.5
1992/93,Germany,TO,I,4.5
1992/93,Greece,OO,C,197.0
1992/93,Greece,OO,E,10.3
1992/93,Greece,OO,I,0.0
1992/93,Greece,OO,P,310.0
1992/93,Greece,TO,C,25.0
1992/93,Greece,TO,E,15.0
1992/93,Greece,TO,I,0.0
1992/93,Greece,TO,P,60.0
1992/93,Iran,OO,C,2.5
1992/93,Iran,OO,E,0.0
1992/93,Iran,OO,I,0.5
1992/93,Iran,OO,P,2.0
1992/93,Iraq,OO,E,0.0
1992/93,Ireland,OO,C,0.9
1992/93,Ireland,OO,E,0.0
1992/93,Ireland,OO,I,0.0
1992/93,Ireland,TO,C,0.0
1992/93,Ireland,TO,E,0.0
1992/93,Ireland,TO,I,0.0
1992/93,Israel,OO,C,5.0
1992/93,Israel,OO,E,0.5
1992/93,Israel,OO,I,0.0
1992/93,Israel,OO,P,7.5
1992/93,Italy,OO,C,641.0
1992/93,Italy,OO,E,90.8
1992/93,Italy,OO,I,65.5
1992/93,Italy,OO,P,435.0
1992/93,Italy,TO,C,130.0
1992/93,Italy,TO,E,0.7
1992/93,Italy,TO,I,3.1
1992/93,Italy,TO,P,70.0
1992/93,Japan,OO,C,5.0
1992/93,Japan,OO,I,5.0
1992/93,Jordan,OO,C,17.0
1992/93,Jordan,OO,E,1.0
1992/93,Jordan,OO,I,4.0
1992/93,Jordan,OO,P,14.0
1992/93,Lebanon,OO,C,7.0
1992/93,Lebanon,OO,E,0.5
1992/93,Lebanon,OO,I,0.5
1992/93,Lebanon,OO,P,8.0
1992/93,Libya,OO,C,9.0
1992/93,Libya,OO,E,0.0
1992/93,Libya,OO,I,1.0
1992/93,Libya,OO,P,6.0
1992/93,Mexico,OO,C,4.0
1992/93,Mexico,OO,E,0.0
1992/93,Mexico,OO,I,2.0
1992/93,Mexico,OO,P,2.0
1992/93,Montenegro,OO,C,1.5
1992/93,Montenegro,OO,E,0.0
1992/93,Montenegro,OO,I,0.0
1992/93,Montenegro,OO,P,1.5
1992/93,Morocco,OO,C,40.0
1992/93,Morocco,OO,E,0.5
1992/93,Morocco,OO,I,3.0
1992/93,Morocco,OO,P,38.0
1992/93,Netherlands,OO,C,2.0
1992/93,Netherlands,OO,E,0.1
1992/93,Netherlands,OO,I,0.1
1992/93,Netherlands,TO,C,3.1
1992/93,Netherlands,TO,E,0.0
1992/93,Netherlands,TO,I,1.2
1992/93,Oth.non-prod.,OO,C,30.0
1992/93,Oth.non-prod.,OO,I,30.0
1992/93,Other pr.coun.,OO,C,9.0
1992/93,Other pr.coun.,OO,E,0.0
1992/93,Other pr.coun.,OO,I,3.0
1992/93,Other pr.coun.,OO,P,6.0
1992/93,Palestine,OO,C,10.0
1992/93,Palestine,OO,E,11.0
1992/93,Palestine,OO,I,0.0
1992/93,Palestine,OO,P,31.0
1992/93,Portugal,OO,C,49.9
1992/93,Portugal,OO,E,7.5
1992/93,Portugal,OO,I,0.9
1992/93,Portugal,OO,P,22.0
1992/93,Portugal,TO,C,18.0
1992/93,Portugal,TO,E,3.3
1992/93,Portugal,TO,I,0.5
1992/93,Portugal,TO,P,16.5
1992/93,Russia,OO,C,5.0
1992/93,Russia,OO,I,5.0
1992/93,Saudi Arabia,OO,C,7.0
1992/93,Saudi Arabia,OO,E,0.0
1992/93,Saudi Arabia,OO,I,7.0
1992/93,Spain,OO,C,421.4
1992/93,Spain,OO,E,51.6
1992/93,Spain,OO,I,13.1
1992/93,Spain,OO,P,623.1
1992/93,Spain,TO,C,125.0
1992/93,Spain,TO,E,86.0
1992/93,Spain,TO,I,0.0
1992/93,Spain,TO,P,223.7
1992/93,Switzerland,OO,C,3.0
1992/93,Switzerland,OO,E,0.0
1992/93,Switzerland,OO,I,3.0
1992/93,Syria,OO,C,67.0
1992/93,Syria,OO,E,0.0
1992/93,Syria,OO,I,0.0
1992/93,Syria,OO,P,86.0
1992/93,Tunisia,OO,C,60.0
1992/93,Tunisia,OO,E,110.0
1992/93,Tunisia,OO,I,0.0
1992/93,Tunisia,OO,P,120.0
1992/93,Türkiye,OO,C,50.0
1992/93,Türkiye,OO,E,5.5
1992/93,Türkiye,OO,I,1.5
1992/93,Türkiye,OO,P,56.0
1992/93,United King.,OO,C,12.0
1992/93,United King.,OO,E,0.1
1992/93,United King.,OO,I,0.0
1992/93,United King.,TO,C,3.7
1992/93,United King.,TO,E,0.0
1992/93,United King.,TO,I,0.5
1992/93,USA,OO,C,104.0
1992/93,USA,OO,E,2.0
1992/93,USA,OO,I,108.5
1992/93,USA,OO,P,1.0
1993/94,Algeria,OO,C,25.0
1993/94,Algeria,OO,E,0.0
1993/94,Algeria,OO,I,0.0
1993/94,Algeria,OO,P,21.0
1993/94,Argentina,OO,C,4.0
1993/94,Argentina,OO,E,4.0
1993/94,Argentina,OO,I,0.0
1993/94,Argentina,OO,P,8.0
1993/94,Australia,OO,C,16.5
1993/94,Australia,OO,E,0.0
1993/94,Australia,OO,I,16.0
1993/94,Brazil,OO,C,14.5
1993/94,Brazil,OO,E,0.0
1993/94,Brazil,OO,I,14.5
1993/94,Canada,OO,C,12.0
